timestamp,symbol,digash_timeframe,side,digash_zone_low,digash_zone_high,primary_reason,raw_gap_reason,current_quote_volume_24h,passes_MIN_QUOTE_VOLUME_24H_60M_at_check,in_saved_57_symbol_baseline_universe,flags,reason_note
2026-07-03T16:19:00+03:00,BIRBUSDT,1m,support,0.07429,0.07481,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,8983618.42439,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-03T15:33:00+03:00,ZKPUSDT,1m,support,0.058,0.05825,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,2445322.27472,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-03T13:08:00+03:00,BREVUSDT,3m,resistance,0.08371,0.08399,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,3333188.02954,False,False,timeframe_not_scanned;below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-03T02:36:00+03:00,AERGOUSDT,1m,support,0.02887,0.02893,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,1626276.15186,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-04T18:16:00+03:00,ARPAUSDT,1m,support,0.01037,0.01039,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,3262745.7264,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-04T17:58:00+03:00,THEUSDT,1m,support,0.06271,0.06276,time_alignment/no_candidate_in_match_window,same_side_candidates_exist_but_outside_time_window,74576433.225216,True,False,same_side_candidates_exist_only_outside_match_window,"Same-side ????????? ?? ???? ????, ?? ????????? ??? ??????????? ????; ? ?????? ?????? detector ?? ??? ??????? ????????."
2026-07-04T16:18:00+03:00,SLXUSDT,1m,support,0.35214,0.35431,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,56587594.65691,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-04T05:03:00+03:00,XPLUSDT,1m,resistance,0.10787,0.10838,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,29423086.70534,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-05T20:32:00+03:00,LABUSDT,1m,support,16.38,16.5,zone_matching/clustering_gap,same_side_time_match_but_zone_not_close,808997240.7072,True,True,same_side_candidate_in_time_window_but_zone_gap_gt_0.5pct,"??? detector ????? ?? ?? ????/??????? ? ?????????? ????????? ????, ?? ????????? ???? ?? ??????????? ? gap > 0.5%."
2026-07-05T12:46:00+03:00,EPICUSDT,1h,support,0.3665,0.3946,zone_matching/clustering_gap,same_side_time_match_but_zone_not_close,26493854.36877,False,True,below_MIN_QUOTE_VOLUME_24H_60M_at_check;same_side_candidate_in_time_window_but_zone_gap_gt_0.5pct,"??? detector ????? ?? ?? ????/??????? ? ?????????? ????????? ????, ?? ????????? ???? ?? ??????????? ? gap > 0.5%."
