symbol,timeframe,side,zone_low,zone_high,signal_type,timestamp,source_file
1000PEPEUSDT,1m,support,0.0025273,0.0025277,breakout,2026-07-03T18:42:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\03.07.2026\Снимок экрана 2026-07-09 223542.png
KORUUSDT,5m,support,600.0,600.54,breakout,2026-07-03T18:05:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\03.07.2026\Снимок экрана 2026-07-09 223546.png
BIRBUSDT,1m,support,0.07429,0.07481,breakout,2026-07-03T16:19:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\03.07.2026\Снимок экрана 2026-07-09 223550.png
ZKPUSDT,1m,support,0.058,0.05825,breakout,2026-07-03T15:33:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\03.07.2026\Снимок экрана 2026-07-09 223554.png
BREVUSDT,3m,resistance,0.08371,0.08399,breakout,2026-07-03T13:08:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\03.07.2026\Снимок экрана 2026-07-09 223558.png
ALLOUSDT,1m,resistance,0.35012,0.35201,breakout,2026-07-03T06:27:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\03.07.2026\Снимок экрана 2026-07-09 223602.png
LITUSDT,3m,resistance,2.0856,2.0873,breakout,2026-07-03T04:18:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\03.07.2026\Снимок экрана 2026-07-09 223606.png
SNDKUSDT,1m,support,1779.4,1782.41,breakout,2026-07-03T04:06:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\03.07.2026\Снимок экрана 2026-07-09 223609.png
SOXLUSDT,1m,support,181.5,181.82,breakout,2026-07-03T03:18:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\03.07.2026\Снимок экрана 2026-07-09 223613.png
AERGOUSDT,1m,support,0.02887,0.02893,breakout,2026-07-03T02:36:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\03.07.2026\Снимок экрана 2026-07-09 223619.png
OUSDT,1h,support,0.6131,0.6235,breakout,2026-07-04T23:31:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\04.07.2026\Снимок экрана 2026-07-09 223356.png
OUSDT,15m,resistance,0.6044,0.6131,breakout,2026-07-04T23:20:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\04.07.2026\Снимок экрана 2026-07-09 223402.png
ARPAUSDT,1m,support,0.01037,0.01039,breakout,2026-07-04T18:16:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\04.07.2026\Снимок экрана 2026-07-09 223416.png
THEUSDT,1m,support,0.06271,0.06276,breakout,2026-07-04T17:58:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\04.07.2026\Снимок экрана 2026-07-09 223437.png
SLXUSDT,1m,support,0.35214,0.35431,breakout,2026-07-04T16:18:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\04.07.2026\Снимок экрана 2026-07-09 223445.png
XPLUSDT,1m,resistance,0.10787,0.10838,breakout,2026-07-04T05:03:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\04.07.2026\Снимок экрана 2026-07-09 223449.png
LABUSDT,1m,support,5.831,5.858,breakout,2026-07-04T04:09:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\04.07.2026\Снимок экрана 2026-07-09 223454.png
REUSDT,1m,support,0.628,0.6306,breakout,2026-07-04T03:12:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\04.07.2026\Снимок экрана 2026-07-09 223459.png
LABUSDT,1m,support,16.38,16.5,breakout,2026-07-05T20:32:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\05.07.2026\Снимок экрана 2026-07-09 223224.png
EPICUSDT,1h,support,0.3665,0.3946,breakout,2026-07-05T12:46:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\05.07.2026\Снимок экрана 2026-07-09 223230.png
EPICUSDT,15m,support,0.4413,0.4575,breakout,2026-07-05T12:11:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\05.07.2026\Снимок экрана 2026-07-09 223235.png
OGNUSDT,1m,support,0.01795,0.01796,breakout,2026-07-05T09:25:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\05.07.2026\Снимок экрана 2026-07-09 223239.png
EPICUSDT,4h,resistance,0.768,0.8262,breakout,2026-07-05T03:18:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\05.07.2026\Снимок экрана 2026-07-09 223247.png
VANRYUSDT,1m,support,0.004355,0.004368,breakout,2026-07-05T03:03:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\05.07.2026\Снимок экрана 2026-07-09 223251.png
