timestamp,symbol,timeframe,side,zone_low,zone_high,primary_reason,in_fresh_scan_universe,quoteVolume,passes_min_quote_volume_24h,match_type,match_confidence,match_score,match_timeframe,match_time_diff_min,match_zone_gap_pct,match_publication_status
2026-07-03T18:42:00+03:00,1000PEPEUSDT,1m,support,0.0025273,0.0025277,classification_mismatch/zone_found_not_confirmed_breakout,True,96489107.7675757,True,test,confirmed,71.79498247537293,1m,2.0,0.34314,published
2026-07-03T16:19:00+03:00,BIRBUSDT,1m,support,0.07429,0.07481,universe/liquidity_below_60m,False,9037908.2515,False,,,,,,,
2026-07-03T15:33:00+03:00,ZKPUSDT,1m,support,0.058,0.05825,universe/liquidity_below_60m,False,2371933.93373,False,,,,,,,
2026-07-03T13:08:00+03:00,BREVUSDT,3m,resistance,0.08371,0.08399,universe/liquidity_below_60m,False,2892142.7843,False,,,,,,,
2026-07-03T06:27:00+03:00,ALLOUSDT,1m,resistance,0.35012,0.35201,universe/liquidity_below_60m,False,53731837.25749,False,,,,,,,
2026-07-03T04:06:00+03:00,SNDKUSDT,1m,support,1779.4,1782.41,classification_mismatch/zone_found_not_confirmed_breakout,True,2427301634.2218,True,test,low_confidence,58.51999999999999,5m,1.0,0.03816,allowed_filter
2026-07-03T03:18:00+03:00,SOXLUSDT,1m,support,181.5,181.82,classification_mismatch/zone_found_not_confirmed_breakout,True,1324521625.2769,True,test,low_confidence,60.002402218065576,1m,33.0,0.0,allowed_filter
2026-07-03T02:36:00+03:00,AERGOUSDT,1m,support,0.02887,0.02893,universe/liquidity_below_60m,False,1575451.07099,False,,,,,,,
2026-07-04T23:31:00+03:00,OUSDT,1h,support,0.6131,0.6235,universe/liquidity_below_60m,False,54150551.2901,False,,,,,,,
2026-07-04T23:20:00+03:00,OUSDT,15m,resistance,0.6044,0.6131,universe/liquidity_below_60m,False,54150551.2901,False,,,,,,,
2026-07-04T18:16:00+03:00,ARPAUSDT,1m,support,0.01037,0.01039,universe/liquidity_below_60m,False,2991760.65208,False,,,,,,,
2026-07-04T17:58:00+03:00,THEUSDT,1m,support,0.06271,0.06276,classification_mismatch/zone_found_not_confirmed_breakout,True,75848944.687705,True,test,confirmed,93.54563343051788,5m,2.0,0.0,published
2026-07-04T16:18:00+03:00,SLXUSDT,1m,support,0.35214,0.35431,universe/liquidity_below_60m,False,56352357.14236,False,,,,,,,
2026-07-04T05:03:00+03:00,XPLUSDT,1m,resistance,0.10787,0.10838,universe/liquidity_below_60m,False,30202223.92809,False,,,,,,,
2026-07-04T03:12:00+03:00,REUSDT,1m,support,0.628,0.6306,universe/liquidity_below_60m,False,27908391.5143,False,,,,,,,
2026-07-05T20:32:00+03:00,LABUSDT,1m,support,16.38,16.5,zone_matching/clustering_gap,True,787833043.1127,True,breakout,confirmed,78.1577,5m,3.0,0.747,published
2026-07-05T12:46:00+03:00,EPICUSDT,1h,support,0.3665,0.3946,universe/liquidity_below_60m,False,28344737.17595,False,,,,,,,
2026-07-05T12:11:00+03:00,EPICUSDT,15m,support,0.4413,0.4575,universe/liquidity_below_60m,False,28344737.17595,False,,,,,,,
2026-07-05T09:25:00+03:00,OGNUSDT,1m,support,0.01795,0.01796,universe/liquidity_below_60m,False,23844093.70963,False,,,,,,,
2026-07-05T03:18:00+03:00,EPICUSDT,4h,resistance,0.768,0.8262,universe/liquidity_below_60m,False,28344737.17595,False,,,,,,,
2026-07-06T23:05:00+03:00,SAMSUNGUSDT,15m,resistance,212.63,213.27,classification_mismatch/zone_found_not_confirmed_breakout,True,145786578.0026,True,test,low_confidence,58.71119240266194,1m,0.0,0.08463,allowed_filter
2026-07-06T17:48:00+03:00,SPCXUSDT,5m,support,160.19,160.72,classification_mismatch/zone_found_not_confirmed_breakout,True,867816051.1291,True,test,low_confidence,61.24999999999999,1m,4.0,0.0,published
2026-07-06T17:11:00+03:00,MUUSDT,1m,resistance,1013.85,1015.02,classification_mismatch/zone_found_not_confirmed_breakout,True,1157194531.5166,True,test,low_confidence,57.56745258484912,1m,5.0,0.33156,allowed_filter
2026-07-06T16:54:00+03:00,MRVLUSDT,5m,resistance,258.14,258.84,classification_mismatch/zone_found_not_confirmed_breakout,True,128390739.4166,True,test,low_confidence,59.68594809092805,1m,15.0,0.0,allowed_filter
2026-07-06T16:53:00+03:00,MRVLUSDT,3m,resistance,258.84,259.59,classification_mismatch/zone_found_not_confirmed_breakout,True,128390739.4166,True,test,low_confidence,55.76333159276723,1m,20.0,0.0,allowed_filter
2026-07-06T16:39:00+03:00,SPCXUSDT,1m,support,162.62,162.81,classification_mismatch/zone_found_not_confirmed_breakout,True,867816051.1291,True,test,confirmed,53.02729471257196,1m,17.0,0.0,published
2026-07-06T15:30:00+03:00,KORUUSDT,1m,support,621.3,622.12,zone_matching/clustering_gap,True,1203514297.088,True,test,low_confidence,60.0133,5m,0.0,0.9585,allowed_filter
